Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,MARKET_PRICE,MODEL_PRICE
351,/GDAX147500F0.EX,2020-03-17,2020-06-19,CALL,14750.0,0.2,35.27,0.25735797399041754,0.0,0.0
359,/GDAX149500F0.EX,2020-03-27,2020-06-19,CALL,14950.0,0.2,35.4,0.2299794661190965,0.0,0.0
164,/GDAX100500R0.EX,2020-05-15,2020-06-19,PUT ,10050.0,340.1,35.42,0.09582477754962354,9709.9,9710.545256852993
163,/GDAX100500F0.EX,2020-04-03,2020-06-19,CALL,10050.0,607.2,35.45,0.2108145106091718,0.0,0.0
320,/GDAX139500R0.EX,2020-03-09,2020-06-19,PUT ,13950.0,3636.1,35.52,0.2792607802874743,10313.9,10316.510355080223
361,/GDAX150000F0.EX,2020-04-23,2020-06-19,CALL,15000.0,0.2,35.7,0.15605749486652978,0.0,0.00012579088634043223
322,/GDAX140000R0.EX,2020-04-24,2020-06-19,PUT ,14000.0,3686.2,35.87,0.15331964407939766,10313.8,10315.23821212977
162,/GDAX100000R0.EX,2020-05-15,2020-06-19,PUT ,10000.0,324.7,35.89,0.09582477754962354,9675.3,9675.942046619894
161,/GDAX100000F0.EX,2020-05-15,2020-06-19,CALL,10000.0,642.0,35.92,0.09582477754962354,0.0,0.0
324,/GDAX140500R0.EX,2020-05-15,2020-06-19,PUT ,14050.0,3736.2,36.22,0.09582477754962354,10313.8,10314.70207550095
160,/GDAX99500R0.EX,2020-05-15,2020-06-19,PUT ,9950.0,310.1,36.37,0.09582477754962354,9639.9,9640.538836386795
159,/GDAX99500F0.EX,2020-05-13,2020-06-19,CALL,9950.0,677.5,36.4,0.10130047912388775,0.0,0.0
326,/GDAX141000R0.EX,2020-03-04,2020-06-19,PUT ,14100.0,3786.2,36.56,0.2929500342231348,10313.8,10316.567770588616
158,/GDAX99000R0.EX,2020-05-15,2020-06-19,PUT ,9900.0,296.3,36.84,0.09582477754962354,9603.7,9604.335626153696
157,/GDAX99000F0.EX,2020-05-15,2020-06-19,CALL,9900.0,713.7,36.87,0.09582477754962354,0.0,0.0
328,/GDAX141500R0.EX,2020-05-15,2020-06-19,PUT ,14150.0,3836.2,37.13,0.09582477754962354,10313.8,10314.708495967152
156,/GDAX98500R0.EX,2020-05-15,2020-06-19,PUT ,9850.0,283.1,37.31,0.09582477754962354,9566.9,9567.532415920596
155,/GDAX98500F0.EX,2020-05-14,2020-06-19,CALL,9850.0,750.4,37.36,0.09856262833675565,0.0,0.0
330,/GDAX142000R0.EX,2020-05-15,2020-06-19,PUT ,14200.0,3886.3,37.47,0.09582477754962354,10313.7,10314.611706200249
154,/GDAX98000R0.EX,2020-05-15,2020-06-19,PUT ,9800.0,270.3,37.79,0.09582477754962354,9529.7,9530.329205687496
332,/GDAX142500R0.EX,2019-11-20,2020-06-19,PUT ,14250.0,3936.3,37.81,0.5804243668720055,10313.7,10319.24267930341
153,/GDAX98000F0.EX,2020-05-14,2020-06-19,CALL,9800.0,787.8,37.83,0.09856262833675565,0.0,0.0
334,/GDAX143000R0.EX,2020-03-05,2020-06-19,PUT ,14300.0,3986.3,38.15,0.29021218343600275,10313.7,10316.480793272465
152,/GDAX97500R0.EX,2020-05-15,2020-06-19,PUT ,9750.0,258.4,38.26,0.09582477754962354,9491.6,9492.225995454397
151,/GDAX97500F0.EX,2020-05-15,2020-06-19,CALL,9750.0,825.8,38.3,0.09582477754962354,0.0,0.0
336,/GDAX143500R0.EX,2020-05-15,2020-06-19,PUT ,14350.0,4036.4,38.49,0.09582477754962354,10313.6,10314.521336899548
363,/GDAX155000F0.EX,2020-04-17,2020-06-19,CALL,15500.0,0.2,38.64,0.17248459958932238,0.0,0.0
150,/GDAX97000R0.EX,2020-05-15,2020-06-19,PUT ,9700.0,246.7,38.74,0.09582477754962354,9453.3,9453.922785221297
149,/GDAX97000F0.EX,2020-05-14,2020-06-19,CALL,9700.0,864.3,38.77,0.09856262833675565,0.0,0.0
